tract_geoid,pct_poverty,pct_unemployment,median_rent,pct_vacant_housing,median_income,green_space_pct,walkability_index,duplicate_group_id
01003011201,13.9,5.2,995.0,12.8,62250.0,68.0,12.0,
01003011202,9.8,4.9,1146.0,26.8,52005.0,34.4,4.2,
01003011300,13.5,2.8,691.0,29.1,55821.0,31.1,5.6,
01003011401,16.7,9.8,779.0,26.6,44669.0,25.3,7.3,
01003011403,8.2,10.0,871.0,30.6,44707.0,49.5,12.3,
01003011405,6.7,6.7,1395.0,78.0,66973.0,57.5,14.6,
01003011406,22.3,12.0,915.0,79.5,47109.0,32.3,11.0,
01003011407,23.0,22.7,887.0,64.8,38279.0,21.7,6.9,
01003011408,1.5,19.3,1117.0,87.6,51841.0,32.7,5.7,
01003011501,17.5,9.7,576.0,13.0,39845.0,45.4,6.5,
01003011502,26.5,14.1,763.0,16.9,42485.0,42.2,9.7,
01003011601,21.3,7.9,817.0,22.4,36734.0,42.0,1.0,
01003011602,12.4,3.8,719.0,26.4,46735.0,29.5,12.5,
01003990000,,,,,,41.6,11.7,
01005950100,20.8,12.1,811.0,21.3,42649.0,36.2,7.0,
01005950200,28.0,19.6,470.0,22.3,27411.0,34.1,1.5,
01005950300,39.7,10.0,538.0,30.5,25156.0,37.4,3.7,
01005950400,13.1,12.5,503.0,27.2,42841.0,41.6,11.7,
01005950500,22.3,8.6,694.0,30.1,40868.0,43.4,2.7,
01005950600,30.4,7.6,714.0,18.1,30000.0,30.7,1.0,
01005950700,25.8,16.4,540.0,17.3,30395.0,36.1,4.3,
01005950800,9.1,8.5,656.0,16.5,44440.0,49.3,4.7,
01005950900,31.6,25.4,558.0,16.7,26181.0,8.8,1.0,
01007010001,11.1,26.8,603.0,21.2,43343.0,35.0,5.5,
01007010002,20.1,10.6,681.0,18.0,41495.0,28.4,7.3,
01007010003,14.5,7.3,633.0,23.8,39167.0,28.8,1.6,
01007010004,18.4,7.1,486.0,22.1,33816.0,31.9,3.4,
01009050101,20.1,8.3,615.0,13.0,44272.0,55.9,6.1,
01009050102,19.2,12.7,594.0,12.1,43042.0,23.3,2.9,
01009050200,14.4,12.2,718.0,12.0,40459.0,51.4,1.0,
01009050300,23.1,8.4,561.0,11.9,41424.0,9.9,2.3,
01009050400,26.3,12.4,696.0,8.4,36550.0,27.2,1.0,
01009050500,24.5,9.6,474.0,21.3,37986.0,35.0,1.0,
01009050601,12.9,5.5,918.0,9.6,45208.0,46.8,7.6,
01009050602,9.1,10.0,600.0,9.2,59579.0,50.4,15.4,
01009050700,11.6,6.0,684.0,11.1,46902.0,50.3,5.1,
01011952100,12.7,9.4,314.0,26.7,30440.0,33.8,6.7,
01011952200,19.5,17.6,557.0,11.2,37500.0,28.8,3.6,
01011952500,25.8,20.8,912.0,17.6,37740.0,44.1,6.8,
01013952700,29.0,9.0,512.0,16.7,26588.0,27.8,1.0,
01013952800,11.2,8.8,806.0,5.2,46979.0,21.5,12.9,
01013952900,20.8,10.3,537.0,13.5,40438.0,18.7,7.2,
01013953000,21.6,7.4,741.0,25.7,43500.0,21.3,7.1,
01013953100,36.7,20.7,544.0,18.8,25542.0,33.6,1.0,
01013953200,23.3,8.7,588.0,15.9,31116.0,35.3,6.7,
01013953300,19.7,11.2,688.0,6.1,39609.0,44.8,11.3,
01013953400,33.6,17.6,515.0,22.5,23994.0,22.2,1.0,
01013953500,27.4,13.6,396.0,25.2,23516.0,33.5,1.0,
01015000200,33.9,15.8,712.0,16.6,28944.0,36.8,7.8,
01015000300,45.0,29.3,491.0,40.6,18511.0,18.2,1.0,
01015000400,35.5,16.1,484.0,28.3,20515.0,33.6,1.0,
01015000500,51.3,25.0,499.0,38.9,19122.0,10.1,1.0,
01015000600,59.5,31.3,365.0,27.1,18073.0,10.2,1.0,
01015000700,37.4,21.6,664.0,10.9,25521.0,21.0,5.9,
01015000800,25.7,19.0,409.0,19.2,22794.0,15.4,1.0,
01015000900,13.9,3.6,601.0,11.4,51774.0,44.9,3.5,
01015001000,9.2,11.5,694.0,8.1,44410.0,33.8,2.1,
01015001100,17.0,17.4,742.0,5.8,50928.0,36.7,13.1,
01015001201,21.6,15.5,589.0,13.2,29625.0,40.9,7.6,
01015001202,15.0,12.4,826.0,15.4,54574.0,43.8,10.1,
01015001300,23.7,13.1,538.0,15.8,29391.0,42.5,1.3,
01015001400,15.8,12.1,513.0,17.2,34858.0,35.7,4.8,
01015001500,16.3,16.7,692.0,13.5,42331.0,30.9,7.8,
01015001600,31.7,11.7,734.0,12.2,29241.0,28.0,6.5,
01015001700,6.8,12.4,572.0,9.4,55202.0,18.0,10.8,
01015001800,24.8,13.4,687.0,17.4,41169.0,12.3,7.9,
01015002000,17.0,6.8,723.0,11.5,50045.0,18.0,13.4,
01015002101,59.5,25.1,522.0,21.6,16071.0,1.3,1.0,
01015002102,12.6,7.1,672.0,14.0,56215.0,44.3,12.0,
01015002103,32.8,14.5,577.0,10.5,39208.0,15.9,10.6,
01015002200,16.9,9.2,618.0,19.9,34729.0,31.3,1.0,
01015002300,31.5,14.5,443.0,15.4,28355.0,47.4,1.0,
01015002400,13.4,8.4,734.0,11.6,59386.0,33.3,8.0,
01015002501,15.4,10.3,593.0,3.3,50153.0,47.6,12.1,
01015002502,11.9,8.8,762.0,17.0,47018.0,26.0,8.3,
01015002600,12.7,10.5,727.0,17.8,51032.0,35.8,9.5,
01015981901,0.0,,,0.0,,31.7,9.2,
01015981902,,,,,,33.6,7.2,
01015981903,,,,,,50.1,4.1,
01017953800,23.1,14.2,771.0,19.3,34564.0,9.3,1.0,
01017953900,31.1,21.9,488.0,16.7,31168.0,35.5,1.0,
01017954000,23.0,11.5,568.0,13.6,32109.0,36.8,9.0,
01017954200,22.0,11.8,692.0,7.2,37000.0,25.7,8.5,
01017954300,25.5,11.7,786.0,29.3,36583.0,12.0,1.1,
01017954400,28.5,3.9,608.0,21.8,24079.0,31.8,1.0,
01017954500,31.1,17.5,579.0,18.5,22778.0,22.0,1.0,
01017954600,15.6,5.3,694.0,18.5,37222.0,40.5,6.7,
01017954700,19.1,11.8,655.0,15.2,34250.0,35.8,1.0,
01019955701,18.7,12.4,632.0,36.7,36693.0,58.1,1.0,
01019955702,32.0,11.0,664.0,22.7,28344.0,25.6,3.7,
01019955800,18.4,11.1,672.0,29.0,37823.0,21.5,6.2,
01019955900,17.7,12.2,581.0,17.3,43193.0,38.7,6.8,
01019956000,16.3,3.7,577.0,25.0,37439.0,39.9,2.6,
01019956100,23.2,7.7,523.0,33.8,36015.0,52.4,4.3,
01021060101,21.3,13.6,640.0,11.4,39441.0,46.0,7.3,
01021060102,21.2,12.1,556.0,10.6,41886.0,39.4,2.7,
01021060200,12.4,6.5,645.0,8.7,42684.0,59.3,1.0,
01021060300,14.1,10.6,663.0,30.8,51563.0,21.3,8.0,
01021060401,13.2,9.8,664.0,12.0,53651.0,29.4,10.9,
01021060402,24.5,5.1,717.0,13.3,38706.0,19.8,1.5,
01021060500,14.0,8.4,618.0,14.6,42375.0,32.5,4.4,
01021060600,19.2,9.0,622.0,17.6,33217.0,16.1,1.4,
01021060700,19.7,12.0,525.0,20.3,41157.0,44.0,9.7,
01023956700,24.9,20.4,578.0,32.8,33500.0,29.4,9.4,
01023956800,20.0,10.8,625.0,19.8,32823.0,14.4,3.5,
01023956900,12.0,4.1,459.0,21.4,46360.0,24.8,5.8,
01023957000,35.1,25.6,520.0,21.5,24879.0,31.8,2.1,
01025957500,21.0,18.4,725.0,32.4,27057.0,46.2,7.2,
01025957601,13.8,9.4,406.0,34.3,46010.0,66.1,9.9,
01025957602,16.8,15.9,502.0,14.8,37627.0,77.4,1.0,
01025957700,33.4,33.7,695.0,40.3,33333.0,34.1,2.7,
01025957800,36.5,18.7,478.0,21.7,26694.0,12.9,1.0,
01025957901,29.5,16.1,582.0,15.3,29325.0,0.4,1.0,
01025957902,25.2,18.7,601.0,20.3,30570.0,36.1,4.9,
01025958001,38.2,48.3,691.0,31.6,22303.0,14.5,2.4,
01025958002,28.2,25.6,769.0,19.4,29453.0,25.1,2.2,
01027958900,12.3,12.4,392.0,19.3,42027.0,30.3,5.4,
01027959000,26.2,7.7,419.0,5.2,26875.0,29.9,1.0,
01027959100,23.7,10.9,447.0,23.1,33833.0,48.1,9.2,
01027959200,17.5,11.7,823.0,22.1,29543.0,38.4,1.0,
01029959500,14.8,5.3,573.0,21.8,33177.0,35.4,1.0,
01029959600,22.5,9.8,518.0,16.6,30985.0,19.3,8.2,
01029959700,20.1,8.7,731.0,12.5,33912.0,11.5,4.5,
01029959800,15.3,9.1,709.0,14.3,47723.0,30.5,2.8,
01031010100,23.4,8.8,604.0,14.6,35938.0,32.5,8.0,
01031010200,19.2,9.0,542.0,15.7,34394.0,60.2,5.4,
01031010300,13.6,7.0,618.0,8.8,50673.0,40.0,11.5,
01031010400,20.6,9.5,631.0,15.7,33464.0,48.5,4.9,
01031010500,25.8,8.0,433.0,16.6,31625.0,25.1,7.4,
01031010600,23.3,3.9,490.0,19.9,35688.0,16.8,7.1,
01031010700,10.6,3.6,531.0,18.2,38173.0,26.2,7.2,
01031010800,14.2,6.8,638.0,13.9,56786.0,27.7,13.3,
01031010900,24.2,7.0,622.0,13.8,36500.0,62.7,1.9,
01031011000,15.1,11.7,756.0,7.3,48447.0,26.0,2.4,
01031011100,23.3,13.2,599.0,24.8,44352.0,45.1,1.1,
01031011201,9.1,4.2,1234.0,11.3,81701.0,27.8,9.0,
01031011202,20.0,4.3,874.0,22.6,49058.0,48.0,7.1,
01031011300,34.5,13.7,555.0,17.3,21971.0,33.1,1.0,
01033020100,25.7,12.6,678.0,17.7,37452.0,30.0,6.8,
01033020200,30.1,10.7,619.0,21.6,35150.0,29.4,9.6,
01033020300,31.9,11.5,479.0,13.2,22147.0,19.9,1.0,
01033020400,4.0,1.7,910.0,5.8,55900.0,49.2,9.4,
01033020500,19.4,19.3,656.0,7.1,37500.0,28.9,10.3,
01033020600,19.5,7.4,565.0,10.2,33236.0,18.1,1.0,
01033020701,17.3,7.8,604.0,8.0,44262.0,18.5,5.3,
01033020703,5.6,7.5,655.0,5.8,56186.0,44.6,14.8,
01033020704,14.4,10.7,771.0,6.2,46744.0,59.9,2.7,
01033020801,24.2,6.9,682.0,18.1,43390.0,35.1,10.9,
01033020802,15.2,9.9,605.0,20.8,37089.0,35.7,3.6,
01033020901,18.5,9.3,772.0,16.0,43353.0,39.8,6.5,
01033020902,14.3,9.8,806.0,15.0,41667.0,56.1,9.8,
01033021000,23.0,12.8,698.0,26.6,33359.0,36.6,9.4,
01035960200,14.0,18.5,579.0,33.0,36996.0,32.2,1.0,
01035960300,21.3,13.5,686.0,20.2,35583.0,49.8,2.5,
01035960400,28.6,29.2,384.0,22.3,24453.0,36.7,1.0,
01035960500,34.8,25.5,570.0,25.3,19063.0,49.1,1.0,
01035960600,48.3,34.5,494.0,35.4,19128.0,23.4,1.0,
01037961000,24.8,25.1,616.0,20.2,25893.0,15.5,1.0,
01037961100,15.6,12.4,709.0,28.4,39646.0,18.0,6.8,
01037961200,19.3,22.1,395.0,42.0,35000.0,58.5,7.8,
01039961600,9.0,7.0,539.0,30.1,50563.0,64.6,13.4,
01039961700,19.6,18.4,561.0,15.5,33469.0,32.7,1.0,
01039961800,21.7,7.0,451.0,21.5,38100.0,28.8,10.7,
01039961900,14.7,6.7,583.0,14.5,49922.0,58.1,5.4,
01039962000,24.4,11.2,562.0,22.1,29586.0,17.3,7.5,
01039962100,39.6,16.8,630.0,21.1,23671.0,12.7,3.1,
01039962300,7.8,4.4,678.0,16.4,44035.0,50.1,5.4,
01039962400,17.7,11.6,572.0,14.4,47473.0,30.6,12.9,
01039962500,22.4,12.3,548.0,22.3,42794.0,33.7,1.0,
01039962600,47.4,21.6,617.0,21.6,20762.0,19.0,2.2,
01039962700,28.7,13.3,446.0,19.1,28194.0,35.4,4.0,
01039962800,11.8,11.4,577.0,23.0,36094.0,58.8,1.0,
01039962900,12.8,4.8,526.0,17.0,48000.0,39.9,4.8,
01039963000,24.4,8.8,629.0,21.4,24680.0,41.8,1.0,
01041963400,15.9,12.8,686.0,24.6,36607.0,8.3,1.5,
01041963500,14.1,13.8,604.0,19.8,46923.0,37.3,12.3,
01041963600,13.3,14.0,546.0,23.5,34333.0,26.5,1.0,
01041963700,20.9,9.6,415.0,12.5,37455.0,17.5,5.5,
01041963800,15.8,6.2,374.0,14.3,35179.0,24.8,4.7,
01041963900,23.5,5.9,703.0,23.1,39048.0,28.6,5.6,
01043964100,15.2,13.9,816.0,17.5,42663.0,50.2,1.8,
01043964200,19.6,11.7,519.0,13.4,37009.0,16.6,4.6,
01043964300,13.2,6.7,684.0,20.9,44077.0,38.8,11.5,
01043964400,11.5,6.2,638.0,12.3,41795.0,32.5,2.4,
01043964500,17.3,8.2,622.0,12.0,38965.0,31.8,1.0,
01043964600,14.4,8.6,674.0,14.6,38167.0,51.8,10.4,
01043964700,13.4,11.6,626.0,12.6,42654.0,45.8,11.2,
01043964800,28.2,6.8,562.0,10.8,34209.0,49.6,4.6,
01043964900,19.5,5.4,640.0,11.0,40864.0,33.1,10.3,
01043965000,23.3,6.1,482.0,3.8,35891.0,23.6,10.1,
01043965100,23.3,9.3,582.0,12.0,39264.0,30.2,1.4,
01043965200,12.8,10.2,547.0,14.3,42368.0,42.0,2.7,
01043965300,20.0,15.6,709.0,7.1,34313.0,37.5,4.3,
01043965401,15.5,10.4,675.0,16.6,34529.0,22.1,6.4,
01043965402,23.6,8.8,653.0,14.6,32917.0,34.5,7.2,
01043965500,12.4,5.5,678.0,22.8,51726.0,42.0,8.0,
01043965600,14.0,15.7,676.0,51.4,42988.0,73.2,1.0,
01043965700,22.8,0.8,565.0,23.7,37188.0,59.9,1.0,
01045020000,5.5,20.5,1244.0,14.2,59094.0,30.3,13.5,
01045020100,16.4,7.0,493.0,19.6,45724.0,32.8,7.6,
01045020200,6.4,2.7,525.0,18.6,56278.0,21.3,3.6,
01045020300,10.9,9.6,577.0,11.2,53690.0,31.3,10.8,
01045020400,13.0,3.8,594.0,13.0,47147.0,42.9,8.7,
01045020500,22.8,11.4,469.0,15.8,31900.0,50.5,2.3,
01045020700,36.3,8.8,548.0,15.4,25541.0,16.6,5.2,
01045020801,10.8,11.0,596.0,6.5,43420.0,30.4,3.8,
01045020802,21.5,9.3,522.0,15.4,48950.0,4.2,10.6,
01045021101,19.0,14.4,918.0,15.9,57829.0,33.2,7.2,
01045021102,29.3,13.3,653.0,18.7,40583.0,15.5,6.3,
01045021200,23.1,9.9,613.0,17.8,47731.0,26.0,13.2,
01045021300,12.7,12.8,490.0,10.8,42436.0,26.4,7.4,
01045021400,27.2,13.3,556.0,10.9,34417.0,30.1,4.7,
01047956100,19.8,10.1,669.0,12.7,44023.0,10.5,7.3,
01047956201,30.9,9.9,590.0,14.6,33382.0,9.0,6.0,
01047956202,15.7,5.8,552.0,14.9,43825.0,67.0,10.0,
01047956300,36.0,15.6,523.0,9.0,24106.0,9.0,3.9,
01047956400,61.9,38.0,589.0,17.9,14160.0,0.0,1.0,
01047956500,55.9,34.2,456.0,22.4,14288.0,42.8,1.0,
01047956600,42.7,15.2,612.0,20.1,24113.0,64.3,1.0,
01047956701,11.4,8.6,818.0,7.7,63534.0,22.9,9.0,
01047956702,36.4,21.2,604.0,27.5,32794.0,21.6,3.7,
01047956800,27.5,23.0,349.0,27.4,26205.0,36.0,4.9,
01047956900,42.9,14.4,449.0,28.4,20729.0,47.8,1.0,
01047957000,52.8,22.7,585.0,29.0,17636.0,4.8,1.0,
01047957100,20.5,8.7,771.0,21.4,26184.0,31.3,1.6,
01047957200,42.7,22.5,628.0,26.3,23958.0,34.5,1.0,
01047957300,36.6,23.2,582.0,24.8,28769.0,32.8,2.6,
01049960100,20.4,7.7,479.0,17.5,41233.0,29.5,6.0,
01049960200,16.3,8.7,597.0,18.1,31685.0,35.0,4.2,
01049960300,15.2,6.5,514.0,16.4,39490.0,18.2,9.7,
01049960400,7.2,10.6,681.0,22.1,51283.0,38.1,8.8,
01049960500,14.6,9.2,641.0,16.4,40579.0,34.0,6.4,
01049960600,15.6,3.7,440.0,21.1,40272.0,40.5,7.7,
01049960700,31.8,9.7,594.0,21.1,33828.0,21.3,9.4,
01049960800,33.2,8.5,478.0,16.4,30338.0,35.0,5.4,
01049960900,21.8,8.1,545.0,24.1,33563.0,48.3,1.0,
01049961000,24.8,13.6,626.0,16.6,38581.0,34.8,4.3,
01049961100,18.2,19.3,584.0,20.8,27161.0,40.8,1.0,
01049961200,6.3,1.5,958.0,13.2,62037.0,42.6,4.3,
01049961300,30.1,15.1,490.0,16.7,32599.0,30.0,7.2,
01049961400,14.5,11.8,696.0,38.2,37034.0,27.6,3.0,
01051030100,16.3,6.7,723.0,11.2,43477.0,41.3,3.5,
01051030200,13.4,12.8,752.0,15.2,50451.0,36.9,7.7,
01051030300,3.2,1.0,722.0,56.2,59844.0,72.7,6.0,
01051030400,7.8,9.0,613.0,10.9,46497.0,63.1,1.6,
01051030500,13.1,7.9,686.0,8.2,50197.0,43.9,9.8,
01051030600,17.6,12.7,732.0,10.3,51458.0,25.5,4.7,
01051030701,6.2,5.0,1136.0,3.6,75994.0,26.3,6.3,
01051030702,8.9,4.6,1378.0,6.4,66635.0,57.2,13.5,
01051030800,14.1,17.9,834.0,11.6,46594.0,41.6,12.4,
01051030901,3.8,5.8,932.0,15.3,71375.0,49.8,6.8,
01051030902,16.9,6.9,860.0,4.7,49365.0,12.1,7.2,
01051031000,22.3,4.2,799.0,8.6,43137.0,46.8,2.8,
01051031100,9.2,9.0,913.0,4.8,68495.0,46.8,5.5,
01051031200,18.4,15.8,726.0,14.2,41429.0,20.3,4.5,
01051031300,25.2,11.0,989.0,15.1,42339.0,25.8,9.7,
01053969800,31.4,22.0,569.0,22.2,33703.0,33.0,1.4,
01053969900,20.1,11.5,560.0,13.5,34852.0,35.7,1.0,
01053970100,18.5,12.1,637.0,13.9,35236.0,31.7,5.4,
01053970200,37.9,21.3,569.0,21.4,26840.0,24.6,5.5,
01053970300,22.2,17.1,578.0,19.0,35488.0,30.4,2.4,
01053970400,21.4,8.3,499.0,12.4,37168.0,36.4,4.1,
01053970500,25.5,19.3,572.0,5.8,31654.0,52.9,1.0,
01053970600,42.7,26.2,608.0,20.4,18092.0,0.0,3.3,
01053970700,16.8,7.1,635.0,19.1,46272.0,33.3,12.6,
01055000200,32.2,6.2,638.0,19.7,23811.0,31.4,3.8,
01055000300,53.4,24.9,323.0,25.2,15223.0,22.4,1.0,
01055000400,7.8,4.5,909.0,7.6,47195.0,35.9,4.8,
01055000500,17.0,25.0,753.0,27.1,28514.0,11.9,1.0,
01055000600,39.9,22.1,647.0,24.2,25176.0,29.6,1.0,
01055000700,30.8,17.0,464.0,21.5,21406.0,53.8,1.0,
01055000800,47.3,19.7,579.0,30.0,19688.0,0.0,1.0,
01055000900,41.7,16.1,512.0,21.4,22973.0,36.2,5.3,
01055001000,53.4,22.3,630.0,26.0,26204.0,13.7,3.9,
01055001100,8.3,4.1,541.0,9.5,63505.0,40.0,5.1,
01055001200,32.4,11.2,625.0,13.7,26432.0,14.1,1.0,
01055001300,32.6,25.7,633.0,21.9,29333.0,24.0,7.7,
01055001600,18.0,10.3,772.0,17.3,37367.0,54.2,8.4,
01055001700,20.5,12.7,588.0,19.3,25476.0,42.9,1.0,
01055010100,29.5,14.3,667.0,26.7,33750.0,54.5,8.0,
01055010200,15.9,14.5,623.0,16.3,35379.0,53.5,4.1,
01055010300,8.0,7.3,624.0,10.4,41326.0,47.1,8.7,
01055010401,26.3,12.1,681.0,14.3,33309.0,56.3,4.6,
01055010402,15.4,9.4,924.0,9.1,53676.0,43.4,10.7,
01055010501,4.7,6.3,739.0,11.7,67688.0,54.2,8.8,
01055010502,12.3,16.0,554.0,13.1,46920.0,34.7,7.3,
01055010601,5.2,4.6,741.0,10.6,57614.0,43.3,5.6,
01055010602,7.8,5.8,565.0,13.8,39893.0,31.3,4.2,
01055010700,12.5,5.6,716.0,16.2,44455.0,52.6,1.7,
01055010800,24.9,15.6,613.0,16.0,36597.0,16.1,6.5,
01055010900,15.5,3.7,485.0,19.6,56719.0,48.2,3.8,
01055011001,15.4,13.2,663.0,14.0,40403.0,34.6,3.1,
01055011002,11.3,8.4,684.0,14.5,50033.0,55.7,3.0,
01055011100,21.5,7.9,586.0,15.5,32993.0,44.8,5.5,
01055011200,57.4,14.4,406.0,19.9,16566.0,41.8,1.0,
01057020000,21.1,11.9,138.0,8.7,33750.0,44.7,2.1,
01057020100,14.6,10.0,631.0,20.4,41489.0,15.7,5.5,
01057020200,18.4,11.3,499.0,13.5,33913.0,34.9,1.0,
01057020300,27.0,12.5,459.0,22.5,28214.0,15.1,6.6,
01057020400,22.6,11.3,486.0,15.2,31422.0,26.4,1.2,
01059972900,16.2,12.0,532.0,16.4,44107.0,58.1,8.5,
01059973000,37.8,8.1,559.0,4.5,26806.0,35.0,6.7,
01059973100,12.4,12.4,562.0,16.9,46625.0,29.0,2.5,
01059973200,26.9,10.4,576.0,10.1,44871.0,17.4,8.8,
01059973300,24.7,9.8,549.0,15.7,37233.0,33.1,1.0,
01059973400,27.3,5.4,445.0,13.6,31063.0,14.3,8.3,
01059973500,10.8,9.0,542.0,11.9,38237.0,30.2,3.1,
01059973600,25.6,11.1,475.0,14.4,36211.0,36.6,2.0,
01059973700,21.1,8.0,531.0,15.0,33386.0,50.6,1.3,
01061050100,25.1,13.2,477.0,17.4,29167.0,41.0,8.1,
01061050200,22.9,7.8,638.0,16.8,43401.0,1.5,3.9,
01061050300,26.9,13.9,536.0,9.8,31719.0,35.8,8.1,
01061050400,22.9,9.7,591.0,15.3,34759.0,34.6,8.8,
01061050500,14.4,7.2,572.0,15.5,46765.0,43.6,11.3,
01061050600,22.0,10.6,679.0,8.7,40293.0,56.6,1.5,
01063060000,37.0,23.6,568.0,41.9,24297.0,0.0,2.3,
01063060100,28.8,27.4,406.0,20.7,24136.0,22.3,1.0,
01063060200,46.8,25.3,517.0,43.3,19513.0,29.9,1.0,
01065040000,13.4,5.8,733.0,19.8,49107.0,16.2,3.4,
01065040100,22.7,16.0,607.0,36.7,29453.0,54.3,8.1,
01065040200,19.8,9.5,455.0,18.6,35978.0,40.3,1.6,
01065040300,40.7,19.6,,29.2,26290.0,36.5,5.5,
01065040400,38.3,16.0,405.0,18.1,23575.0,17.9,1.0,
01065040500,23.0,17.5,752.0,16.5,31076.0,44.9,6.4,
01067030100,14.5,18.8,618.0,11.5,37137.0,52.7,8.3,
01067030200,22.6,18.5,503.0,16.7,29837.0,37.0,1.0,
01067030300,15.8,4.7,702.0,45.1,39563.0,40.4,6.2,
01067030400,21.6,2.6,547.0,20.3,32000.0,38.0,1.0,
01067030500,8.2,11.8,593.0,12.2,54143.0,28.8,5.1,
01067030600,16.4,7.2,717.0,15.9,44625.0,34.7,8.0,
01069040100,14.7,6.4,704.0,11.9,51071.0,35.5,10.7,
01069040201,5.5,4.9,931.0,8.1,70426.0,47.6,13.8,
01069040202,6.1,5.2,688.0,8.0,71042.0,55.9,15.4,
01069040301,16.6,11.5,567.0,18.9,35672.0,21.9,6.9,
01069040302,24.5,9.8,735.0,13.2,36468.0,31.0,3.1,
01069040400,15.8,7.6,681.0,12.9,56548.0,57.8,14.8,
01069040500,13.1,5.8,723.0,8.6,42972.0,28.0,11.7,
01069040600,53.6,25.2,499.0,27.6,14054.0,6.7,1.0,
01069040700,29.4,11.0,765.0,11.6,34459.0,33.1,9.6,
01069040800,17.4,8.2,705.0,14.6,41236.0,48.1,11.6,
01069040900,12.4,7.8,652.0,9.4,47143.0,39.0,10.1,
01069041000,33.4,9.2,642.0,14.9,28519.0,46.9,5.7,
01069041100,19.9,8.6,714.0,16.1,36707.0,47.0,1.0,
01069041200,39.7,15.1,487.0,17.7,17424.0,36.9,1.0,
01069041400,37.3,14.1,594.0,22.1,23362.0,34.1,1.0,
01069041500,32.0,15.3,522.0,14.5,27697.0,61.6,1.0,
01069041600,18.5,6.4,697.0,13.1,36426.0,32.9,7.9,
01069041700,14.7,5.6,506.0,22.6,32407.0,9.6,1.0,
01069041800,14.1,7.2,615.0,20.5,34167.0,60.4,2.4,
01069041900,15.1,6.7,661.0,16.1,42314.0,31.0,5.3,
01069042000,16.2,7.7,635.0,13.2,39916.0,38.4,1.0,
01069042100,16.3,6.0,634.0,15.0,43145.0,55.2,10.6,
01071950100,18.9,3.4,498.0,20.5,34981.0,13.1,8.3,
01071950200,19.4,10.9,551.0,17.8,36761.0,17.8,1.0,
01071950300,19.6,13.4,475.0,20.4,42500.0,12.8,7.2,
01071950400,19.4,13.2,633.0,21.7,39125.0,24.2,6.4,
01071950500,19.3,15.0,476.0,12.8,37604.0,41.5,6.4,
01071950600,21.3,7.2,539.0,17.9,32118.0,41.7,1.0,
01071950700,6.2,8.4,642.0,24.8,38953.0,45.8,1.2,
01071950800,26.6,13.4,505.0,14.2,31716.0,11.9,1.0,
01071950900,7.8,10.2,609.0,8.3,50417.0,8.8,10.5,
01071951000,21.2,7.2,550.0,15.2,39649.0,35.2,5.3,
01071951100,21.5,12.6,590.0,18.9,32036.0,27.6,4.6,
01073000100,38.3,16.3,754.0,21.4,24359.0,32.3,1.1,
01073000300,34.4,17.8,552.0,22.3,20425.0,37.6,1.0,
01073000400,46.7,21.9,912.0,29.6,21759.0,23.6,1.7,
01073000500,46.9,27.1,534.0,21.9,21430.0,32.2,1.0,
