participant_id,true_tract_geoid,scenario
A10000_00131,08101002913,clean
A10000_00132,13297110601,clean
A10000_00133,20209043803,clean
A10000_00134,12031014702,clean
A10000_00135,26163563900,clean
A10000_00136,48157674000,clean
A10000_00137,20177001601,clean
A10000_00138,17097861901,clean
A10000_00139,45053950100,clean
A10000_00140,20209041600,clean
A10000_00141,47131965300,clean
A10000_00142,06107000100,clean
A10000_00143,25017370400,clean
A10000_00144,54081000804,clean
A10000_00145,42003501000,clean
A10000_00146,45003021300,clean
A10000_00147,47125102003,clean
A10000_00148,21067003600,clean
A10000_00149,36005027402,clean
A10000_00150,41035970400,clean
A10000_00151,54091964900,clean
A10000_00152,21083020900,clean
A10000_00153,36111953700,clean
A10000_00154,39133601902,clean
A10000_00155,48355001200,clean
A10000_00156,18081610201,clean
A10000_00157,45059920400,clean
A10000_00158,26125173500,clean
A10000_00159,34029722500,clean
A10000_00160,51810041802,clean
A10000_00161,17167001004,clean
A10000_00162,42003512000,clean
A10000_00163,37003040400,clean
A10000_00164,13135050531,clean
A10000_00165,06073010601,clean
A10000_00166,06075017601,clean
A10000_00167,04019003903,clean
A10000_00168,26061000800,clean
A10000_00169,18151971500,clean
A10000_00170,06037534202,clean
A10000_00171,36081088400,clean
A10000_00172,30111000706,clean
A10000_00173,06037702802,clean
A10000_00174,32031003509,clean
A10000_00175,04013422504,clean
A10000_00176,05119003712,clean
A10000_00177,37161960200,clean
A10000_00178,36005021601,clean
A10000_00179,08031004403,clean
A10000_00180,50003970600,clean
A10000_00181,51700031200,clean
A10000_00182,22017024601,clean
A10000_00183,37049960401,clean
A10000_00184,06001421300,clean
A10000_00185,12033001103,clean
A10000_00186,06067007906,clean
A10000_00187,13015960200,clean
A10000_00188,55009020702,clean
A10000_00189,47009011501,clean
A10000_00190,42101013500,clean
A10000_00191,24510100100,clean
A10000_00192,36081067100,clean
A10000_00193,34013011700,clean
A10000_00194,41029003002,clean
A10000_00195,18105000901,clean
A10000_00196,12057014121,clean
A10000_00197,51810046213,clean
A10000_00198,39077916100,clean
A10000_00199,36081008700,clean
A10000_00200,39155920600,clean
A10000_00201,13175950700,clean
A10000_00202,15003008909,clean
A10000_00203,36081150702,clean
A10000_00204,06087120600,clean
A10000_00205,34007611300,clean
A10000_00206,51820003200,clean
A10000_00207,37091950200,clean
A10000_00208,06037128802,clean
A10000_00209,47125101303,clean
A10000_00210,39035123501,clean
A10000_00211,12086000710,clean
A10000_00212,17031560800,clean
A10000_00213,06037550202,clean
A10000_00214,39153520202,clean
A10000_00215,42079211101,clean
A10000_00216,27053104400,clean
A10000_00217,06037228420,clean
A10000_00218,25025061101,clean
A10000_00219,17031040800,clean
A10000_00220,08005086500,clean
A10000_00221,33015003602,clean
A10000_00222,34011010200,clean
A10000_00223,17019005600,clean
A10000_00224,06037481604,clean
A10000_00225,06099000911,clean
A10000_00226,13051003700,clean
A10000_00227,06037543100,clean
A10000_00228,26159011800,clean
A10000_00229,41051010001,clean
A10000_00230,17031813900,clean
A10000_00231,19153005200,clean
A10000_00232,10005051702,clean
A10000_00233,35045942801,clean
A10000_00234,04013116500,clean
A10000_00235,26147642000,clean
A10000_00236,48361020700,clean
A10000_00237,40143006000,clean
A10000_00238,04027011800,clean
A10000_00239,36081050400,clean
A10000_00240,40109107306,clean
A10000_00241,26163584400,clean
A10000_00242,22071012300,clean
A10000_00243,06037536102,clean
A10000_00244,36047006500,clean
A10000_00245,48113004300,clean
A10000_00246,06037208401,clean
A10000_00247,06037262501,clean
A10000_00248,21125970900,clean
A10000_00249,06037703200,clean
A10000_00250,41017001002,clean
A10000_00251,06037117405,clean
A10000_00252,36119013400,clean
A10000_00253,26125122700,clean
A10000_00254,45051060405,clean
A10000_00255,40143004302,clean
A10000_00256,06059011602,clean
A10000_00257,40005587900,clean
A10000_00258,45083022006,clean
A10000_00259,48121021632,clean
A10000_00260,53033022901,clean
A10000_00261,13003960200,clean
A10000_00262,12085000610,clean
A10000_00263,22033002400,clean
A10000_00264,40065968300,clean
A10000_00265,24027606907,clean
A10000_00266,05007020301,clean
A10000_00267,39035138107,clean
A10000_00268,31109001001,clean
A10000_00269,39035105500,clean
A10000_00270,06037530005,clean
A10000_00271,34013014800,clean
A10000_00272,48423002101,clean
A10000_00273,06001430300,clean
A10000_00274,09003420700,clean
A10000_00275,13313000800,clean
A10000_00276,06037242300,clean
A10000_00277,06085509403,clean
A10000_00278,28113950101,clean
A10000_00279,06023010901,clean
A10000_00280,06085506802,clean
A10000_00281,06037127803,clean
A10000_00282,54035963600,clean
A10000_00283,51075400100,clean
A10000_00284,40143006200,clean
A10000_00285,39061025103,clean
A10000_00286,36047116600,clean
A10000_00287,37105030102,clean
A10000_00288,40121486600,clean
A10000_00289,32005002300,clean
A10000_00290,17099963700,clean
A10000_00291,47063100600,clean
A10000_00292,21095970300,clean
A10000_00293,24005402404,clean
A10000_00294,06081608800,clean
A10000_00295,06019001800,clean
A10000_00296,41053005201,clean
A10000_00297,34019011302,clean
A10000_00298,02198940100,clean
A10000_00299,20177002500,clean
A10000_00300,48421950200,clean
A10000_00301,17119403002,clean
A10000_00302,29169470390,clean
A10000_00303,23019002000,clean
A10000_00304,06073020017,clean
A10000_00305,53073010404,clean
A10000_00306,42003455000,clean
A10000_00307,20091053505,clean
A10000_00308,01103005107,clean
A10000_00309,17031805001,clean
A10000_00310,12113010702,clean
A10000_00311,06037403303,clean
A10000_00312,36047030400,clean
A10000_00313,40017301406,clean
A10000_00314,36065022701,clean
A10000_00315,42045405300,clean
A10000_00316,36081117100,clean
A10000_00317,30045000100,clean
A10000_00318,40017300202,clean
A10000_00319,13021011500,clean
A10000_00320,30065000100,clean
A10000_00321,55009000303,clean
A10000_00322,31109003003,clean
A10000_00323,48485012000,clean
A10000_00324,36013030800,clean
A10000_00325,17031803902,clean
A10000_00326,42099030502,clean
A10000_00327,29189217943,clean
A10000_00328,06059063201,clean
A10000_00329,08001008802,clean
A10000_00330,53061051922,clean
A10000_00331,13231010300,clean
A10000_00332,12009061202,clean
A10000_00333,48453002427,clean
A10000_00334,56037970700,clean
A10000_00335,39035117101,clean
A10000_00336,42029300101,clean
A10000_00337,36067015400,clean
A10000_00338,29213480301,clean
A10000_00339,37031970605,clean
A10000_00340,09003416400,clean
A10000_00341,13297110505,clean
A10000_00342,06017031700,clean
A10000_00343,34003002100,clean
A10000_00344,27053021400,clean
A10000_00345,48375012600,clean
A10000_00346,17031252000,clean
A10000_00347,25009260600,clean
A10000_00348,06037532603,clean
A10000_00349,45015020401,clean
A10000_00350,13087970100,clean
A10000_00351,41047001502,clean
A10000_00352,41039002501,clean
A10000_00353,08083969100,clean
A10000_00354,51027010500,clean
A10000_00355,06065045108,clean
A10000_00356,12099005702,clean
A10000_00357,20209044804,clean
A10000_00358,23019000300,clean
A10000_00359,24510270802,clean
A10000_00360,12115002603,clean
A10000_00361,12127091019,clean
A10000_00362,06059021827,clean
A10000_00363,53053072308,clean
A10000_00364,24031701409,clean
A10000_00365,29189220801,clean
A10000_00366,36057072600,clean
A10000_00367,48251130205,clean
A10000_00368,37067000200,clean
A10000_00369,47125100700,clean
A10000_00370,19101090100,clean
A10000_00371,25013801401,clean
A10000_00372,26025000700,clean
A10000_00373,48439103702,clean
A10000_00374,25027730200,clean
A10000_00375,06055200505,clean
A10000_00376,06085503218,clean
A10000_00377,22057021300,clean
A10000_00378,26091061302,clean
A10000_00379,36119000600,clean
A10000_00380,06077002300,clean
A10000_00381,47093005604,clean
A10000_00382,36103135304,clean
A10000_00383,06069000501,clean
A10000_00384,40021977700,clean
A10000_00385,34039039700,clean
A10000_00386,19161080100,clean
A10000_00387,12089050201,clean
A10000_00388,39165031902,clean
A10000_00389,39153507202,clean
A10000_00390,04013812300,clean
A10000_00391,13139001302,clean
A10000_00392,06073002302,clean
A10000_00393,26125137800,clean
A10000_00394,13033950200,clean
A10000_00395,37089930701,clean
A10000_00396,26077002904,clean
A10000_00397,06037576001,clean
A10000_00398,35001003719,clean
A10000_00399,55083100600,clean
A10000_00400,12031002102,clean
A10000_00401,39017011109,clean
A10000_00402,51730811200,clean
A10000_00403,04021001306,clean
A10000_00404,45045002608,clean
A10000_00405,41001950400,clean
A10000_00406,21185030501,clean
A10000_00407,01003010906,clean
A10000_00408,04025001801,clean
A10000_00409,13051010806,clean
A10000_00410,48039660701,clean
A10000_00411,48471790103,clean
A10000_00412,36047039900,clean
A10000_00413,48201211500,clean
A10000_00414,44007012103,clean
A10000_00415,48029181729,clean
A10000_00416,32031003513,clean
A10000_00417,28135950300,clean
A10000_00418,36059410200,clean
A10000_00419,06037430723,clean
A10000_00420,45057010300,clean
A10000_00421,01095030801,clean
A10000_00422,12069030408,clean
A10000_00423,24003706301,clean
A10000_00424,29183311153,clean
A10000_00425,12011042000,clean
A10000_00426,24021751702,clean
A10000_00427,21019030500,clean
A10000_00428,30013002300,clean
A10000_00429,40109108701,clean
A10000_00430,51650011600,clean
A10000_00431,51670820100,clean
A10000_00432,26081012702,clean
A10000_00433,39049009720,clean
A10000_00434,18089040401,clean
A10000_00435,48091310606,clean
A10000_00436,37095920100,clean
A10000_00437,42041011902,clean
A10000_00438,04013420112,clean
A10000_00439,09001205200,clean
A10000_00440,27053106500,clean
A10000_00441,51810045420,clean
A10000_00442,48215020102,clean
A10000_00443,25025081500,clean
A10000_00444,25027739400,clean
A10000_00445,48491021000,clean
A10000_00446,19153001800,clean
A10000_00447,34007603501,clean
A10000_00448,37123960500,clean
A10000_00449,06111000200,clean
A10000_00450,55031020900,clean
A10000_00451,27053023200,clean
A10000_00452,34037371400,clean
A10000_00453,18097340800,clean
A10000_00454,18003003800,clean
A10000_00455,23031020000,clean
A10000_00456,42003488600,clean
A10000_00457,10003011204,clean
A10000_00458,51059452801,clean
A10000_00459,27123036500,clean
A10000_00460,48113014129,clean
A10000_00461,12101031703,clean
A10000_00462,49049000903,clean
A10000_00463,06075030302,clean
A10000_00464,48303010402,clean
A10000_00465,55079021000,clean
A10000_00466,06059001708,clean
A10000_00467,35006946100,clean
A10000_00468,42015951300,clean
A10000_00469,20015020600,clean
A10000_00470,53059950300,clean
A10000_00471,54055001500,clean
A10000_00472,12071020300,clean
A10000_00473,37071031701,clean
A10000_00474,31055006505,clean
A10000_00475,12081001912,clean
A10000_00476,42049001400,clean
A10000_00477,40109108515,clean
A10000_00478,06069000300,clean
A10000_00479,34023006703,clean
A10000_00480,37119005605,clean
A10000_00481,39045030900,clean
A10000_00482,45035010504,clean
A10000_00483,30003940600,clean
A10000_00484,47045964600,clean
A10000_00485,12101032111,clean
A10000_00486,28091950100,clean
A10000_00487,36005001900,clean
A10000_00488,06059087504,clean
A10000_00489,06073008366,clean
A10000_00490,12033003800,clean
A10000_00491,12103027703,clean
A10000_00492,48201340900,clean
A10000_00493,39113040403,clean
A10000_00494,27119021000,clean
A10000_00495,06037920017,clean
A10000_00496,30049000600,clean
A10000_00497,08041006801,clean
A10000_00498,26163515200,clean
A10000_00499,06037300501,clean
A10000_00500,05051012001,clean
A10000_00501,36081054000,clean
A10000_00502,20061000200,clean
A10000_00503,17043844305,clean
A10000_00504,48085030507,clean
A10000_00505,06019002906,clean
A10000_00506,06037405900,clean
A10000_00507,23017965700,clean
A10000_00508,22045030100,clean
A10000_00509,42011012800,clean
A10000_00510,48415950600,clean
A10000_00511,25025110403,clean
A10000_00512,04019003503,clean
A10000_00513,34023001416,clean
A10000_00514,05091020702,clean
A10000_00515,06037128101,clean
A10000_00516,26029001400,clean
A10000_00517,34019010900,clean
A10000_00518,17201003400,clean
A10000_00519,06025010800,clean
A10000_00520,27005450200,clean
A10000_00521,18159020100,clean
A10000_00522,25009266400,clean
A10000_00523,51121020202,clean
A10000_00524,08059012052,clean
A10000_00525,12011090404,clean
A10000_00526,48113016413,clean
A10000_00527,36093032902,clean
A10000_00528,48201240501,clean
A10000_00529,12021010102,clean
A10000_00530,26125142500,clean
A10000_00531,51013102600,clean
A10000_00532,37105030401,clean
A10000_00533,08051963800,clean
A10000_00534,48355005801,clean
A10000_00535,40131050405,clean
A10000_00536,36081010400,clean
A10000_00537,26099224100,clean
A10000_00538,32003003427,clean
A10000_00539,06031001002,clean
A10000_00540,13295020700,clean
A10000_00541,36007014600,clean
A10000_00542,56021000600,clean
A10000_00543,08071000800,clean
A10000_00544,12105011908,clean
A10000_00545,17155954600,clean
A10000_00546,12095012402,clean
A10000_00547,37183053724,clean
A10000_00548,20177000900,clean
A10000_00549,27053105201,clean
A10000_00550,19179960700,clean
A10000_00551,48355006400,clean
A10000_00552,48061012800,clean
A10000_00553,44007011302,clean
A10000_00554,39035183603,clean
A10000_00555,13157010703,clean
A10000_00556,06013313102,clean
A10000_00557,26161405200,clean
A10000_00558,15003008702,clean
A10000_00559,04023966104,clean
A10000_00560,29095015100,clean
A10000_00561,26163538500,clean
A10000_00562,09001043500,clean
A10000_00563,48329010114,clean
A10000_00564,26025001300,clean
A10000_00565,13097080602,clean
A10000_00566,06095251100,clean
A10000_00567,06071001703,clean
A10000_00568,06065042741,clean
A10000_00569,51135000200,clean
A10000_00570,05123960500,clean
A10000_00571,01093964700,clean
A10000_00572,36085008100,clean
A10000_00573,17043841003,clean
A10000_00574,34007606500,clean
A10000_00575,18125954100,clean
A10000_00576,25027731203,clean
A10000_00577,42003523300,clean
A10000_00578,10003014903,clean
A10000_00579,12101032014,clean
A10000_00580,19103001700,clean
A10000_00581,55117010400,clean
A10000_00582,22111960600,clean
A10000_00583,27103480300,clean
A10000_00584,24031703501,clean
A10000_00585,48255970100,clean
A10000_00586,41005020700,clean
A10000_00587,25025010702,clean
A10000_00588,42075004200,clean
A10000_00589,19003950200,clean
A10000_00590,06037219020,clean
A10000_00591,48245000700,clean
A10000_00592,06059052519,clean
A10000_00593,13015960101,clean
A10000_00594,26163554500,clean
A10000_00595,37163970100,clean
A10000_00596,17031823806,clean
A10000_00597,26161456000,clean
A10000_00598,13135050436,clean
A10000_00599,17031730201,clean
A10000_00600,36055014901,clean
A10000_00601,40109106914,clean
A10000_00602,30001000100,clean
A10000_00603,04013814600,clean
A10000_00604,24039930500,clean
A10000_00605,04013319404,clean
A10000_00606,49049003105,clean
A10000_00607,47037018102,clean
A10000_00608,12099007823,clean
A10000_00609,55079009200,clean
A10000_00610,06001404200,clean
A10000_00611,06037463200,clean
A10000_00612,33011010600,clean
A10000_00613,06059062630,clean
A10000_00614,21067002302,clean
A10000_00615,06111004400,clean
A10000_00616,06013336101,clean
A10000_00617,53053072601,clean
A10000_00618,12039020800,clean
A10000_00619,27153790100,clean
A10000_00620,25027730100,clean
A10000_00621,06037531000,clean
A10000_00622,37119005619,clean
A10000_00623,18163002600,clean
A10000_00624,20091052415,clean
A10000_00625,17031827802,clean
A10000_00626,13089021704,clean
A10000_00627,26099247400,clean
A10000_00628,13137000602,clean
A10000_00629,12057012702,clean
A10000_00630,45041000800,clean
A10000_00631,48423001908,clean
A10000_00632,06113010602,clean
A10000_00633,30015010300,clean
A10000_00634,55117010300,clean
A10000_00635,40127097600,clean
A10000_00636,12061050100,clean
A10000_00637,36059412100,clean
A10000_00638,26125194100,clean
A10000_00639,24005403701,clean
A10000_00640,23019003000,clean
A10000_00641,19153011300,clean
A10000_00642,55009940003,clean
A10000_00643,06059032036,clean
A10000_00644,32003005423,clean
A10000_00645,12086019000,clean
A10000_00646,15003001901,clean
A10000_00647,22055001401,clean
A10000_00648,34021001300,clean
A10000_00649,06073009305,clean
A10000_00650,12105010603,clean
A10000_00651,53063014200,clean
A10000_00652,06059074110,clean
A10000_00653,21013960400,clean
A10000_00654,17031150800,clean
A10000_00655,45083023002,clean
A10000_00656,39071954600,clean
A10000_00657,55079120400,clean
A10000_00658,39113050104,clean
A10000_00659,19153002700,clean
A10000_00660,48441013401,clean
A10000_00661,37081016407,clean
A10000_00662,48381021605,clean
A10000_00663,39093022601,clean
A10000_00664,18089012800,clean
A10000_00665,04021941200,clean
A10000_00666,01103005500,clean
A10000_00667,06037603101,clean
A10000_00668,42003561500,clean
A10000_00669,40119011101,clean
A10000_00670,42005951000,clean
A10000_00671,06107001901,clean
A10000_00672,48491020504,clean
A10000_00673,21111012601,clean
A10000_00674,06001405402,clean
A10000_00675,36047101400,clean
A10000_00676,12011020309,clean
A10000_00677,48029190603,clean
A10000_00678,21111011601,clean
A10000_00679,54035963200,clean
A10000_00680,51165011400,clean
A10000_00681,36081020200,clean
A10000_00682,06037800102,clean
A10000_00683,27123036700,clean
A10000_00684,26147652600,clean
A10000_00685,42043022401,clean
A10000_00686,39085201500,clean
A10000_00687,48303001706,clean
A10000_00688,17041952200,clean
A10000_00689,13175950202,clean
A10000_00690,48245010500,clean
A10000_00691,27137003400,clean
A10000_00692,12086000804,clean
A10000_00693,06037239601,clean
A10000_00694,17115002902,clean
A10000_00695,25025170200,clean
A10000_00696,36119006500,clean
A10000_00697,37091950300,clean
A10000_00698,06067008136,clean
A10000_00699,41039004900,clean
A10000_00700,36081061400,clean
A10000_00701,19191950100,clean
A10000_00702,01045021101,clean
A10000_00703,42091203208,clean
A10000_00704,28059041700,clean
A10000_00705,32003004911,clean
A10000_00706,36043010201,clean
A10000_00707,06037532101,clean
A10000_00708,17031835600,clean
A10000_00709,34003047100,clean
A10000_00710,06039000201,clean
A10000_00711,36081098700,clean
A10000_00712,48141003000,clean
A10000_00713,18095011502,clean
A10000_00714,51059440201,clean
A10000_00715,13185010202,clean
A10000_00716,36081002000,clean
A10000_00717,18039002700,clean
A10000_00718,26163522100,clean
A10000_00719,26125198100,clean
A10000_00720,26125142700,clean
A10000_00721,19013001800,clean
A10000_00722,48451001702,clean
A10000_00723,38017000700,clean
A10000_00724,36119010000,clean
A10000_00725,30031000702,clean
A10000_00726,55127000901,clean
A10000_00727,12101030101,clean
A10000_00728,20107955200,clean
A10000_00729,04013116713,clean
A10000_00730,01083020201,clean
A10000_00731,39085204301,clean
A10000_00732,36025970700,clean
A10000_00733,13121010120,clean
A10000_00734,08097000402,clean
A10000_00735,33005971100,clean
A10000_00736,40039950800,clean
A10000_00737,01047956702,clean
A10000_00738,47189030901,clean
A10000_00739,06031000800,clean
A10000_00740,17197880105,clean
A10000_00741,49035112820,clean
A10000_00742,05093011000,clean
A10000_00743,39093013200,clean
A10000_00744,13121007705,clean
A10000_00745,27123036800,clean
A10000_00746,22073000200,clean
A10000_00747,25017368700,clean
A10000_00748,12095013505,clean
A10000_00749,32003000107,clean
A10000_00750,36059300700,clean
A10000_00751,25009205900,clean
A10000_00752,37087921200,clean
A10000_00753,48355003402,clean
A10000_00754,37147000800,clean
A10000_00755,48147950300,clean
A10000_00756,37001020902,clean
A10000_00757,19013002604,clean
A10000_00758,41043020300,clean
A10000_00759,45007011300,clean
A10000_00760,12103026815,clean
A10000_00761,48469001606,clean
A10000_00762,34013021702,clean
A10000_00763,18163001200,clean
A10000_00764,36047083800,clean
A10000_00765,25003921500,clean
A10000_00766,06085512026,clean
A10000_00767,26163551100,clean
A10000_00768,02100000100,clean
A10000_00769,17197880111,clean
A10000_00770,36029003901,clean
A10000_00771,34023008700,clean
A10000_00772,18151970800,clean
A10000_00773,48439113921,clean
A10000_00774,54033032102,clean
A10000_00775,40131050303,clean
A10000_00776,05093010600,clean
A10000_00777,40145030406,clean
A10000_00778,06073015406,clean
A10000_00779,26163556600,clean
A10000_00780,39099800300,clean
A10000_00781,12095013507,clean
A10000_00782,04027011202,clean
A10000_00783,37155960401,clean
A10000_00784,17167003602,clean
A10000_00785,06013366002,clean
A10000_00786,36093021001,clean
A10000_00787,04013617800,clean
A10000_00788,36071014302,clean
A10000_00789,28067950600,clean
A10000_00790,06037134305,clean
A10000_00791,45063020604,clean
A10000_00792,16013960200,clean
A10000_00793,41065970100,clean
A10000_00794,19153011026,clean
A10000_00795,12086000402,clean
A10000_00796,34003051100,clean
A10000_00797,36047085800,clean
A10000_00798,08005084300,clean
A10000_00799,04027010910,clean
A10000_00800,13089023414,clean
A10000_00801,54011010400,clean
A10000_00802,17043841801,clean
A10000_00803,13051001200,clean
A10000_00804,55101001002,clean
A10000_00805,29125880298,clean
A10000_00806,12115001304,clean
A10000_00807,12071040305,clean
A10000_00808,47145030800,clean
A10000_00809,17097861902,clean
A10000_00810,49039972200,clean
A10000_00811,12099002900,clean
A10000_00812,39061009700,clean
A10000_00813,09011705101,clean
A10000_00814,17031580800,clean
A10000_00815,36119002202,clean
A10000_00816,36059415802,clean
A10000_00817,40037020800,clean
A10000_00818,06067005702,clean
A10000_00819,39061027200,clean
A10000_00820,55105000200,clean
A10000_00821,40109103400,clean
A10000_00822,41035971200,clean
A10000_00823,51165010500,clean
A10000_00824,44007016800,clean
A10000_00825,04019004424,clean
A10000_00826,27123043000,clean
A10000_00827,26163550800,clean
A10000_00828,06037400900,clean
A10000_00829,42003526301,clean
A10000_00830,48201554903,clean
A10000_00831,26121001800,clean
A10000_00832,19193001400,clean
A10000_00833,25009265102,clean
A10000_00834,34017010300,clean
A10000_00835,12086008209,clean
A10000_00836,06085502909,clean
A10000_00837,25023542300,clean
A10000_00838,12011091000,clean
A10000_00839,55131420103,clean
A10000_00840,29015460300,clean
A10000_00841,06037243000,clean
A10000_00842,41033361500,clean
A10000_00843,06037135114,clean
A10000_00844,47099960401,clean
A10000_00845,37119001920,clean
A10000_00846,34013001700,clean
A10000_00847,41051009907,clean
A10000_00848,36059517801,clean
A10000_00849,06037141201,clean
A10000_00850,48025950500,clean
A10000_00851,27043460600,clean
A10000_00852,27099000600,clean
A10000_00853,12127080803,clean
A10000_00854,26163585800,clean
A10000_00855,12086017000,clean
A10000_00856,42071011902,clean
A10000_00857,35047957800,clean
A10000_00858,47029920300,clean
A10000_00859,44007011901,clean
A10000_00860,19027960500,clean
A10000_00861,21123960101,clean
A10000_00862,48113018505,clean
A10000_00863,18003010812,clean
A10000_00864,12086004403,clean
A10000_00865,32003002966,clean
A10000_00866,48027022900,clean
A10000_00867,10003016404,clean
A10000_00868,13285960901,clean
A10000_00869,17041952300,clean
A10000_00870,40027201000,clean
A10000_00871,32003002982,clean
A10000_00872,01041963800,clean
A10000_00873,17029000700,clean
A10000_00874,19163010101,clean
A10000_00875,36073401200,clean
A10000_00876,30111000402,clean
A10000_00877,54019020500,clean
A10000_00878,06073007903,clean
A10000_00879,48201324100,clean
A10000_00880,06001428000,clean
A10000_00881,49049010600,clean
A10000_00882,24027602600,clean
A10000_00883,27003050225,clean
A10000_00884,39113110202,clean
A10000_00885,06073000201,clean
A10000_00886,11001009905,clean
A10000_00887,29147470100,clean
A10000_00888,22071001722,clean
A10000_00889,36065023501,clean
A10000_00890,48201210500,clean
A10000_00891,39151713600,clean
A10000_00892,51041100410,clean
A10000_00893,41043030100,clean
A10000_00894,17031670100,clean
A10000_00895,37159051302,clean
A10000_00896,53005010701,clean
A10000_00897,42007603600,clean
A10000_00898,25017352102,clean
A10000_00899,06001435800,clean
A10000_00900,35001003723,clean
A10000_00901,55027961000,clean
A10000_00902,13051011300,clean
A10000_00903,48065950200,clean
A10000_00904,37149920301,clean
A10000_00905,29097010700,clean
A10000_00906,53015000501,clean
A10000_00907,24017850202,clean
A10000_00908,39035192800,clean
A10000_00909,12093910601,clean
A10000_00910,12095016410,clean
A10000_00911,39069000500,clean
A10000_00912,45071950300,clean
A10000_00913,34001012100,clean
A10000_00914,31055006905,clean
A10000_00915,39049000220,clean
A10000_00916,18003010803,clean
A10000_00917,41039000100,clean
A10000_00918,12011010603,clean
A10000_00919,12103025119,clean
A10000_00920,37013930900,clean
A10000_00921,53057940600,clean
A10000_00922,33013038000,clean
A10000_00923,39113090302,clean
A10000_00924,06107003002,clean
A10000_00925,40143007304,clean
A10000_00926,42003561100,clean
A10000_00927,04013218300,clean
A10000_00928,36055006500,clean
A10000_00929,39021011504,clean
A10000_00930,47157021331,clean
